Ploidy,Species,Dev,Dev50,Devprog
01synth,QM24a,60,0.029321312,0.001880806
01synth,QM24a,60,0.069650374,0.091601102
01synth,QM24a,60,0.221558038,0.034286409
01synth,QM24a,60,0.421662996,0.023703814
01synth,QM24a,60,0.142320326,0.056026217
01synth,QM24a,60,0.446884161,0.748088973
01synth,QM24a,60,0.083008016,0.027771635
01synth,QM24a,60,0.039917524,0.022256949
01synth,QM24a,60,0.249999676,0.250000198
01synth,QM24a,60,0.356840053,0.442090795
01synth,QM24a,60,0.055445296,0.010764687
01synth,QM24a,60,0.20112339,0.069335642
01synth,QM24a,60,0.046386802,0.14492002
01synth,QM24a,60,0.118681857,0.177888952
01synth,QM24a,60,0.129681131,0.014689337
01synth,QM24a,60,0.041282471,0.046634125
01synth,QM24a,60,0.117898915,0.139938004
01synth,QM24a,60,0.316243072,0.189372392
01synth,QM24a,60,0.117421694,0.030371387
01synth,QM24a,60,0.060182285,0.127085328
01synth,QM24a,60,0.024091788,0.001155911
01synth,QM24a,60,0.188281625,0.185292028
01synth,QM24a,60,0.109154137,0.058202743
01synth,QM24a,60,0.002780251,0.078908329
01synth,QM24a,60,0.003583188,0.172815912
01synth,QM24a,60,0.120925209,0.057424805
01synth,QM24a,60,0.011796334,0.031294807
01synth,QM24a,60,0.229601766,0.257291302
01synth,QM24a,60,0.096647689,0.019468922
01synth,QM24a,60,0.151769657,0.032122164
01synth,QM24a,60,0.181406805,0.027302831
01synth,QM24a,60,0.021581474,0.15921733
01synth,QM24a,60,0.01384978,0.085245301
01synth,QM24a,60,0.018605796,0.234107333
01synth,QM24a,60,0.009484069,0.045106206
01synth,QM24a,60,0.163248378,0.103585528
01synth,QM24a,60,0.384587324,0.179477439
01synth,QM24a,60,0.132586116,0.035304946
01synth,QM24a,60,0.066076695,0.056981885
01synth,QM24a,60,0.020253033,0.041233958
01synth,QM24a,60,0.373442689,0.10035205
01synth,QM24a,60,0.043050087,0.036861496
01synth,QM24a,60,0.075092981,0.043010038
01synth,QM24a,60,0.281712289,0.211794792
01synth,QM24a,60,0.031156236,0.064011553
01synth,QM24a,60,0.018138535,0.056167358
01synth,QM24a,60,0.307245795,0.060894762
01synth,QM24a,60,0.159040308,0.01444998
01synth,QM24a,60,0.195118182,0.040778558
01synth,QM24a,60,0.012731093,0.171458407
01synth,QM24a,60,0.025009919,0.026938522
01synth,QM24a,60,0.5,0.545731624
01synth,QM24a,60,0.232226979,0.0028928
01synth,QM24a,60,0.331203433,0.01153941
01synth,QM24a,60,0.422555973,0.059532945
01synth,QM24a,60,0.03294741,0.113350498
01synth,QM24a,60,0.040032085,0.207181394
01synth,QM24a,60,0.143948793,0.194267464
01synth,QM24a,60,0.094328298,0.18537958
01synth,QM24a,60,0.190235853,0.224225242
01synth,QM24a,60,0.284440715,0.214364027
01synth,QM24a,60,0.049672632,0.062225862
01synth,QM24a,60,0.054748406,0.145338994
01synth,QM24a,60,0.270921927,0.201130466
01synth,QM24a,60,0.165453886,0.208577387
01synth,QM24a,60,0.007785932,0.163561672
01synth,QM24a,60,0.232111362,0.009653749
01synth,QM24a,60,0.5,0.999999798
01synth,QM24a,60,0.110519494,0.052006558
01synth,QM24a,60,0.24095305,0.145311354
01synth,QM24a,60,0.036796516,0.025863433
01synth,QM24a,60,0.141849041,0.22450085
01synth,QM24a,60,0.159346797,0.031409779
01synth,QM24a,60,0.266483756,0.203114229
01synth,QM24a,60,0.2436473,0.246568876
01synth,QM24a,60,0.11821834,0.139955167
01synth,QM24a,60,0.217409184,0.07258689
01synth,QM24a,60,0.071925528,0.025088098
01synth,QM24a,60,0.188607794,0.15406538
01synth,QM24a,60,0.209394374,0.013092399
01synth,QM24a,60,0.014903316,0.143174075
01synth,QM24a,60,0.014170748,0.055751849
01synth,QM24a,60,0.092827112,0.160039709
01synth,QM24a,60,0.382166183,0.423658229
01synth,QM24a,60,0.241929203,0.009635343
01synth,QM24a,60,0.485970257,0.014029734
01synth,QM24a,60,0.188597227,0.021495443
01synth,QM24a,60,0.426531338,0.073468648
01synth,QM24a,60,0.094920282,0.014577837
01synth,QM24a,60,0.197342457,0.010007352
01synth,QM24a,60,0.245328256,0.114021635
01synth,QM24a,60,0.057940802,0.008232717
01synth,QM24a,60,0.301638789,0.058062365
01synth,QM24a,60,0.141902448,0.107729377
01synth,QM24a,60,0.189159059,0.034683894
01synth,QM24a,60,0.232280305,0.44936692
01synth,QM24a,60,0.094874423,0.052505493
01synth,QM24a,60,0.439564653,0.144370221
01synth,QM24a,60,0.103785035,0.098727166
01synth,QM24a,60,0.428237217,0.037462576
01synth,QM24a,60,0.313770311,0.256703659
01synth,QM24a,60,0.014975022,0.193989938
01synth,QM24a,60,0.152597364,0.047682366
01synth,QM24a,60,0.428207546,0.385029432
01synth,QM24a,60,0.05708986,0.026367161
01synth,QM24a,60,0.181697115,0.15730543
01synth,QM24a,60,0.025403159,0.054542
01synth,QM24a,60,0.015243754,0.054422951
01synth,QM24a,60,0.316754424,0.105975068
01synth,QM24a,60,0.159198468,0.111879982
01synth,QM24a,60,0.149946623,0.004843192
01synth,QM24a,60,0.186357129,0.058993389
01synth,QM24a,60,0.374880667,0.5995012
01synth,QM24a,60,0.069611809,0.143859969
01synth,QM24a,60,0.313170163,0.108659927
01synth,QM24a,60,0.054940595,0.106945304
01synth,QM24a,60,0.059626398,0.068460095
01synth,QM24a,60,0.041459382,0.023343779
