Dev,Species,Abbrev,percsylv,Dev,Species,percsylv
60,sylv,Sylv60A,1,60,prog ratio,0.187460956
60,sylv,Sylv60B,0.9977,60,sylv,0.997703911
60,sylv,Sylv60C,0.99388,60,QM24,0.383263073
60,QM24,QM2460A,0.375927405,60,QM25,0.444213928
60,QM24,QM2460C,0.39059874,60,tab095,0.500569375
60,QM25,QM2560A,0.444213928,60,tabChu,0.369273555
60,QM25,QM2560B,0.59847298,60,tomf,0.011207945
60,QM25,QM2560C,0.43207621,85,prog ratio,0.177341242
60,tab095,TAB09560A,0.472676762,85,sylv,0.990768502
60,tab095,TAB09560B,0.500569375,85,QM24,0.389239002
60,tab095,TAB09560C,0.583488355,85,QM25,0.454351516
60,tabChu,TABC60A,0.369273555,85,tab095,0.331525247
60,tabChu,TABC60B,0.364676811,85,tabChu,0.409557158
60,tabChu,TABC60C,0.397973188,85,tomf,0.0081653
60,tomf,Tom60A,0.019114794,95,prog ratio,0.26972909
60,tomf,Tom60B,0.011207945,95,sylv,0.998529133
60,tomf,Tom60C,0.002899783,95,QM24,0.381456886
85,sylv,Sylv85A,0.990768502,95,QM25,0.505967913
85,sylv,Sylv85B,0.998051512,95,tab095,0.440627813
85,sylv,Sylv85C,0.990157326,95,tabChu,0.426150016
85,QM24,QM2485A,0.351267931,95,tomf,0.022079491
85,QM24,QM2485B,0.389239002,,,
85,QM24,QM2485C,0.410840505,,,
85,QM25,QM2585A,0.439990604,,,
85,QM25,QM2585B,0.493016606,,,
85,QM25,QM2585C,0.454351516,,,
85,tab095,TAB09585A,0.331525247,,,
85,tab095,TAB09585B,0.359977295,,,
85,tab095,TAB09585C,0.26597276,,,
85,tabChu,TABC85A,0.409557158,,,
85,tabChu,TABC85B,0.517618312,,,
85,tabChu,TABC85C,0.391531407,,,
85,tomf,Tom85B,0.013393844,,,
85,tomf,Tom85C,0.002936757,,,
95,sylv,Sylv95A,0.993682756,,,
95,sylv,Sylv95B,0.999074498,,,
95,sylv,Sylv95C,0.998529133,,,
95,QM24,QM2495A,0.309167713,,,
95,QM24,QM2495B,0.453746059,,,
95,QM25,QM2595A,0.419905071,,,
95,QM25,QM2595B,0.521206594,,,
95,QM25,QM2595C,0.505967913,,,
95,tab095,TAB09595A,0.440627813,,,
95,tab095,TAB09595B,0.563140031,,,
95,tab095,TAB09595C,0.220832901,,,
95,tabChu,TABC95A,0.577767983,,,
95,tabChu,TABC95B,0.317734124,,,
95,tabChu,TABC95C,0.426150016,,,
95,tomf,Tom95A,0.017674938,,,
95,tomf,Tom95B,0.023056137,,,
95,tomf,Tom95C,0.022079491,,,
95,prog ratio,,,,,
