Dev,Species,Abbrev,TMMsum,Dev,Species,TMMsum
60,sylv,Sylv60A,0,60,sylv,0.205
60,sylv,Sylv60B,0.205,60,QM24,22.48
60,sylv,Sylv60C,0.349,60,QM25,19.145
60,QM24,QM2460A,25.585,60,tab095,108.711
60,QM24,QM2460C,19.375,60,tabChu,51.949
60,QM25,QM2560A,19.145,60,tomf,57.262
60,QM25,QM2560B,17.789,85,sylv,0.102
60,QM25,QM2560C,38.287,85,QM24,84.852
60,tab095,TAB09560A,145.709,85,QM25,65.193
60,tab095,TAB09560B,108.711,85,tab095,258.155
60,tab095,TAB09560C,105.275,85,tabChu,413.449
60,tabChu,TABC60A,51.949,85,tomf,248.4625
60,tabChu,TABC60B,81.884,95,sylv,0.314
60,tabChu,TABC60C,43.485,95,QM24,107.243
60,tomf,Tom60A,57.262,95,QM25,101.983
60,tomf,Tom60B,69.747,95,tab095,332.709
60,tomf,Tom60C,40.008,95,tabChu,168.435
85,sylv,Sylv85A,0.102,95,tomf,132.914
85,sylv,Sylv85B,0.08,,,
85,sylv,Sylv85C,0.281,,,
85,QM24,QM2485A,75.59,,,
85,QM24,QM2485B,84.852,,,
85,QM24,QM2485C,94.154,,,
85,QM25,QM2585A,65.193,,,
85,QM25,QM2585B,57.861,,,
85,QM25,QM2585C,174.491,,,
85,tab095,TAB09585A,258.155,,,
85,tab095,TAB09585B,183.275,,,
85,tab095,TAB09585C,287.76,,,
85,tabChu,TABC85A,654.913,,,
85,tabChu,TABC85B,413.449,,,
85,tabChu,TABC85C,276.027,,,
85,tomf,Tom85B,237.285,,,
85,tomf,Tom85C,259.64,,,
95,sylv,Sylv95A,0,,,
95,sylv,Sylv95B,0.314,,,
95,sylv,Sylv95C,0.497,,,
95,QM24,QM2495A,61.689,,,
95,QM24,QM2495B,152.797,,,
95,QM25,QM2595A,101.983,,,
95,QM25,QM2595B,154.219,,,
95,QM25,QM2595C,59.681,,,
95,tab095,TAB09595A,272.141,,,
95,tab095,TAB09595B,332.709,,,
95,tab095,TAB09595C,332.808,,,
95,tabChu,TABC95A,304.672,,,
95,tabChu,TABC95B,79.427,,,
95,tabChu,TABC95C,168.435,,,
95,tomf,Tom95A,132.914,,,
95,tomf,Tom95B,144.219,,,
95,tomf,Tom95C,127.429,,,
