Gene,comp,X,sampleA,sampleB,logFC,logCPM,PValue,FDR,prog
sCHI,01sylvtomf,Nsylvestris_NODE_32653_length_365_cov_193,Sylv95,Tom95,5.780555983,5.553963384,0.000499353,0.000611506,sylv
sCHI,01sylvtomf,Nsylvestris_NODE_7397_length_2505_cov_84,Sylv95,Tom95,11.61020285,5.546148957,8.44E-06,1.76E-05,sylv
sCHS,01sylvtomf,Nsylvestris_NODE_15514_length_1500_cov_222,Sylv95,Tom95,4.065109098,6.088894645,0.000159026,0.000211245,sylv
sCHS,01sylvtomf,Nsylvestris_NODE_13755_length_1678_cov_225,Sylv95,Tom95,6.378298152,6.921555608,1.54E-05,2.82E-05,sylv
sDFR,01sylvtomf,Nsylvestris_NODE_16810_length_1371_cov_224,Sylv95,Tom95,7.543124726,2.262747151,5.04E-05,7.57E-05,sylv
sF3'H,01sylvtomf,Nsylvestris_NODE_4292_length_3153_cov_190,Sylv95,Tom95,11.51279995,6.018128961,1.40E-06,5.23E-06,sylv
sF3H,01sylvtomf,Nsylvestris_NODE_14312_length_1619_cov_212,Sylv95,Tom95,5.285726094,7.984566907,6.23E-06,1.41E-05,sylv
sFLS,01sylvtomf,Nsylvestris_NODE_15824_length_1466_cov_202,Sylv95,Tom95,4.053400033,6.534641611,0.000132368,0.000178675,sylv
tAN1,01sylvtomf,Ntome_NODE_269_length_6958_cov_177,Sylv95,Tom95,-9.281095111,5.56598968,4.38E-06,1.09E-05,tomf
tAN2,01sylvtomf,Ntome_NODE_23004_length_983_cov_98,Sylv95,Tom95,-9.074990681,6.542880059,7.98E-06,1.69E-05,tomf
tANS,01sylvtomf,Ntome_NODE_458_length_6137_cov_152,Sylv95,Tom95,-7.484552643,7.405346803,5.73E-05,8.46E-05,tomf
tCHI,01sylvtomf,Ntome_NODE_12485_length_1899_cov_72,Sylv95,Tom95,-7.248601236,4.356948213,2.03E-05,3.53E-05,tomf
tCHI,01sylvtomf,Ntome_NODE_23712_length_942_cov_283,Sylv95,Tom95,-5.348046115,5.942613481,1.45E-05,2.69E-05,tomf
tCHS,01sylvtomf,Ntome_NODE_17155_length_1434_cov_311,Sylv95,Tom95,-10.16768923,7.770592156,1.50E-07,1.88E-06,tomf
tCHS,01sylvtomf,Ntome_NODE_11583_length_2004_cov_299,Sylv95,Tom95,-9.540332565,9.129408898,1.89E-07,2.01E-06,tomf
tDFR,01sylvtomf,Ntome_NODE_17574_length_1395_cov_290,Sylv95,Tom95,-9.263125861,5.504959188,1.18E-05,2.29E-05,tomf
tF3'H,01sylvtomf,Ntome_NODE_11705_length_1990_cov_273,Sylv95,Tom95,-4.840952788,5.472259737,4.71E-05,7.15E-05,tomf
tF3H,01sylvtomf,Ntome_NODE_35522_length_353_cov_288,Sylv95,Tom95,-9.759161581,5.635739286,1.44E-05,2.68E-05,tomf
tF3H,01sylvtomf,Ntome_NODE_37856_length_291_cov_297,Sylv95,Tom95,-12.86618641,7.555275862,4.69E-09,1.49E-06,tomf
tF3H,01sylvtomf,Ntome_NODE_5151_length_3044_cov_142,Sylv95,Tom95,-10.06035414,6.484404712,6.69E-08,1.56E-06,tomf
tFLS,01sylvtomf,Ntome_NODE_3232_length_3609_cov_134,Sylv95,Tom95,-5.835078345,5.953639408,1.66E-05,3.00E-05,tomf
tFLS,01sylvtomf,Ntome_NODE_4642_length_3174_cov_75,Sylv95,Tom95,-9.09942188,5.634812496,4.51E-06,1.12E-05,tomf
sANS,02tab095sylv,Nsylvestris_NODE_4044_length_3219_cov_205,TAB09595,Sylv95,3.139279692,7.952324387,0.000878186,0.002067028,sylv
sF3'H,02tab095sylv,Nsylvestris_NODE_4292_length_3153_cov_190,TAB09595,Sylv95,-2.594916108,6.210146498,0.000182543,0.000507199,sylv
tAN1,02tab095sylv,Ntome_NODE_269_length_6958_cov_177,TAB09595,Sylv95,9.794231884,5.400398389,1.95E-07,5.56E-06,tomf
tAN2,02tab095sylv,Ntome_NODE_23004_length_983_cov_98,TAB09595,Sylv95,10.34613593,7.135534518,3.16E-06,2.09E-05,tomf
tANS,02tab095sylv,Ntome_NODE_458_length_6137_cov_152,TAB09595,Sylv95,7.293186141,6.581713092,3.48E-06,2.23E-05,tomf
tCHI,02tab095sylv,Ntome_NODE_12485_length_1899_cov_72,TAB09595,Sylv95,8.167980387,4.701884284,1.71E-05,6.84E-05,tomf
tCHI,02tab095sylv,Ntome_NODE_23712_length_942_cov_283,TAB09595,Sylv95,5.524399185,5.611680551,7.30E-06,3.63E-05,tomf
tCHS,02tab095sylv,Ntome_NODE_17155_length_1434_cov_311,TAB09595,Sylv95,9.533615429,6.682197206,3.42E-07,6.65E-06,tomf
tCHS,02tab095sylv,Ntome_NODE_11583_length_2004_cov_299,TAB09595,Sylv95,9.576066655,8.591136061,6.35E-08,5.13E-06,tomf
tDFR,02tab095sylv,Ntome_NODE_17574_length_1395_cov_290,TAB09595,Sylv95,9.3543281,4.997987715,1.81E-06,1.50E-05,tomf
tF3'H,02tab095sylv,Ntome_NODE_11705_length_1990_cov_273,TAB09595,Sylv95,4.739163613,4.798476453,4.35E-06,2.56E-05,tomf
tF3H,02tab095sylv,Ntome_NODE_35522_length_353_cov_288,TAB09595,Sylv95,9.048853419,4.502195185,2.91E-05,0.0001046,tomf
tF3H,02tab095sylv,Ntome_NODE_37856_length_291_cov_297,TAB09595,Sylv95,12.99167371,7.233080352,4.45E-08,5.13E-06,tomf
tF3H,02tab095sylv,Ntome_NODE_5151_length_3044_cov_142,TAB09595,Sylv95,9.954972436,5.966893506,1.06E-07,5.13E-06,tomf
tFLS,02tab095sylv,Ntome_NODE_3232_length_3609_cov_134,TAB09595,Sylv95,4.367650589,3.989371608,3.48E-05,0.000121513,tomf
tFLS,02tab095sylv,Ntome_NODE_4642_length_3174_cov_75,TAB09595,Sylv95,7.505788252,3.393367922,4.65E-06,2.67E-05,tomf
sANS,03tabChusylv,Nsylvestris_NODE_4044_length_3219_cov_205,TABC95,Sylv95,3.477902193,8.241327913,0.000569871,0.00143013,sylv
sF3'H,03tabChusylv,Nsylvestris_NODE_4292_length_3153_cov_190,TABC95,Sylv95,-2.300281435,6.250382536,0.0008986,0.002154823,sylv
tAN1,03tabChusylv,Ntome_NODE_269_length_6958_cov_177,TABC95,Sylv95,9.644727728,5.229007183,6.93E-07,9.99E-06,tomf
tAN2,03tabChusylv,Ntome_NODE_23004_length_983_cov_98,TABC95,Sylv95,9.378300437,6.375297376,3.95E-05,0.000138399,tomf
tANS,03tabChusylv,Ntome_NODE_458_length_6137_cov_152,TABC95,Sylv95,7.256496367,6.490661591,3.34E-06,2.28E-05,tomf
tCHI,03tabChusylv,Ntome_NODE_12485_length_1899_cov_72,TABC95,Sylv95,7.775207314,4.178297402,6.35E-06,3.47E-05,tomf
tCHI,03tabChusylv,Ntome_NODE_23712_length_942_cov_283,TABC95,Sylv95,5.298938978,5.303671873,3.15E-06,2.20E-05,tomf
tCHS,03tabChusylv,Ntome_NODE_17155_length_1434_cov_311,TABC95,Sylv95,10.0591149,7.082310339,5.83E-08,6.85E-06,tomf
tCHS,03tabChusylv,Ntome_NODE_11583_length_2004_cov_299,TABC95,Sylv95,9.67556267,8.642407736,1.42E-07,6.99E-06,tomf
tDFR,03tabChusylv,Ntome_NODE_17574_length_1395_cov_290,TABC95,Sylv95,8.881872489,4.570323108,1.69E-05,6.99E-05,tomf
tF3'H,03tabChusylv,Ntome_NODE_11705_length_1990_cov_273,TABC95,Sylv95,4.94462229,5.039005831,2.77E-05,0.000103662,tomf
tF3H,03tabChusylv,Ntome_NODE_35522_length_353_cov_288,TABC95,Sylv95,8.971455954,4.298464796,1.35E-05,5.94E-05,tomf
tF3H,03tabChusylv,Ntome_NODE_37856_length_291_cov_297,TABC95,Sylv95,12.7533964,6.927313682,1.09E-07,6.85E-06,tomf
tF3H,03tabChusylv,Ntome_NODE_5151_length_3044_cov_142,TABC95,Sylv95,9.911626421,5.927479357,1.31E-06,1.35E-05,tomf
tFLS,03tabChusylv,Ntome_NODE_3232_length_3609_cov_134,TABC95,Sylv95,5.49843854,5.051289271,1.12E-05,5.17E-05,tomf
tFLS,03tabChusylv,Ntome_NODE_4642_length_3174_cov_75,TABC95,Sylv95,8.634987058,4.475683515,1.49E-06,1.45E-05,tomf
sANS,04QM24sylv,Nsylvestris_NODE_4044_length_3219_cov_205,QM2495,Sylv95,2.957915513,7.495911975,0.004542815,0.010872957,sylv
sDFR,04QM24sylv,Nsylvestris_NODE_16810_length_1371_cov_224,QM2495,Sylv95,4.524097528,6.203970779,4.00E-05,0.000201619,sylv
sF3'5'H,04QM24sylv,Nsylvestris_NODE_12917_length_1772_cov_200,QM2495,Sylv95,6.433175666,0.216482343,1.75E-05,0.000117072,sylv
tAN1,04QM24sylv,Ntome_NODE_269_length_6958_cov_177,QM2495,Sylv95,7.869166831,3.032616062,1.14E-05,8.87E-05,tomf
tAN2,04QM24sylv,Ntome_NODE_23004_length_983_cov_98,QM2495,Sylv95,8.885496605,5.236380752,0.000166544,0.000586369,tomf
tANS,04QM24sylv,Ntome_NODE_458_length_6137_cov_152,QM2495,Sylv95,7.15362644,6.008454851,1.98E-05,0.000126005,tomf
tCHI,04QM24sylv,Ntome_NODE_12485_length_1899_cov_72,QM2495,Sylv95,7.681452683,3.557670017,0.000118394,0.000441254,tomf
