Gene,comp,X,sampleA,sampleB,logFC,logCPM,PValue,FDR,prog
tCHI,04QM24sylv,Ntome_NODE_23712_length_942_cov_283,QM2495,Sylv95,5.948875408,5.585655713,1.83E-05,0.00012044,tomf
tCHS,04QM24sylv,Ntome_NODE_17155_length_1434_cov_311,QM2495,Sylv95,9.435850899,6.167591921,4.93E-07,2.86E-05,tomf
tCHS,04QM24sylv,Ntome_NODE_11583_length_2004_cov_299,QM2495,Sylv95,9.661461489,8.224914217,7.76E-07,2.94E-05,tomf
tDFR,04QM24sylv,Ntome_NODE_17574_length_1395_cov_290,QM2495,Sylv95,10.45399119,5.649111038,8.44E-06,7.45E-05,tomf
tF3'H,04QM24sylv,Ntome_NODE_11705_length_1990_cov_273,QM2495,Sylv95,4.172736506,3.961074883,0.000285976,0.000929332,tomf
tF3H,04QM24sylv,Ntome_NODE_35522_length_353_cov_288,QM2495,Sylv95,9.690504664,4.641756606,0.000123352,0.000456315,tomf
tF3H,04QM24sylv,Ntome_NODE_37856_length_291_cov_297,QM2495,Sylv95,13.02087989,6.728317095,2.64E-08,2.86E-05,tomf
tF3H,04QM24sylv,Ntome_NODE_5151_length_3044_cov_142,QM2495,Sylv95,10.07476376,5.699627444,4.34E-07,2.86E-05,tomf
tFLS,04QM24sylv,Ntome_NODE_3232_length_3609_cov_134,QM2495,Sylv95,5.675972586,4.828921404,3.12E-05,0.000170537,tomf
tFLS,04QM24sylv,Ntome_NODE_4642_length_3174_cov_75,QM2495,Sylv95,8.72916191,4.111428989,1.36E-05,0.000100022,tomf
sANS,05QM25sylv,Nsylvestris_NODE_4044_length_3219_cov_205,QM2595,Sylv95,3.071917383,7.781054727,0.000779749,0.001910493,sylv
sDFR,05QM25sylv,Nsylvestris_NODE_16810_length_1371_cov_224,QM2595,Sylv95,4.290937419,6.259378543,6.44E-06,2.98E-05,sylv
sF3'5'H,05QM25sylv,Nsylvestris_NODE_12917_length_1772_cov_200,QM2595,Sylv95,6.745819723,0.732545203,4.36E-07,5.75E-06,sylv
tAN1,05QM25sylv,Ntome_NODE_269_length_6958_cov_177,QM2595,Sylv95,8.640851073,4.104541095,3.15E-07,5.01E-06,tomf
tAN2,05QM25sylv,Ntome_NODE_23004_length_983_cov_98,QM2595,Sylv95,8.662232182,5.429499393,1.76E-05,6.58E-05,tomf
tANS,05QM25sylv,Ntome_NODE_458_length_6137_cov_152,QM2595,Sylv95,7.59152752,6.796196532,3.69E-06,2.02E-05,tomf
tCHI,05QM25sylv,Ntome_NODE_12485_length_1899_cov_72,QM2595,Sylv95,7.720228019,4.013865182,6.14E-06,2.88E-05,tomf
tCHI,05QM25sylv,Ntome_NODE_23712_length_942_cov_283,QM2595,Sylv95,5.910759642,5.814984577,1.39E-06,1.08E-05,tomf
tCHS,05QM25sylv,Ntome_NODE_17155_length_1434_cov_311,QM2595,Sylv95,8.88591053,5.907736222,5.38E-07,6.31E-06,tomf
tCHS,05QM25sylv,Ntome_NODE_11583_length_2004_cov_299,QM2595,Sylv95,9.238818788,8.11301753,5.61E-08,3.38E-06,tomf
tDFR,05QM25sylv,Ntome_NODE_17574_length_1395_cov_290,QM2595,Sylv95,10.11767802,5.625901682,6.73E-07,7.10E-06,tomf
tF3'H,05QM25sylv,Ntome_NODE_11705_length_1990_cov_273,QM2595,Sylv95,4.486744694,4.442836032,7.82E-06,3.44E-05,tomf
tF3H,05QM25sylv,Ntome_NODE_35522_length_353_cov_288,QM2595,Sylv95,9.434820135,4.746720489,1.21E-05,4.86E-05,tomf
tF3H,05QM25sylv,Ntome_NODE_37856_length_291_cov_297,QM2595,Sylv95,12.62780665,6.799557389,1.45E-07,3.78E-06,tomf
tF3H,05QM25sylv,Ntome_NODE_5151_length_3044_cov_142,QM2595,Sylv95,9.55270372,5.423856742,8.22E-08,3.48E-06,tomf
tFLS,05QM25sylv,Ntome_NODE_3232_length_3609_cov_134,QM2595,Sylv95,4.298408233,3.816006773,4.09E-05,0.000133544,tomf
tFLS,05QM25sylv,Ntome_NODE_4642_length_3174_cov_75,QM2595,Sylv95,8.054456188,3.850337912,4.28E-06,2.24E-05,tomf
sAN1,06tab095tomf,Nsylvestris_NODE_6982_length_2572_cov_107,TAB09595,Tom95,2.150476752,4.79825767,0.001110495,0.002632358,sylv
sANS,06tab095tomf,Nsylvestris_NODE_4044_length_3219_cov_205,TAB09595,Tom95,4.903005382,7.805521752,6.66E-06,3.38E-05,sylv
sCHI,06tab095tomf,Nsylvestris_NODE_32653_length_365_cov_193,TAB09595,Tom95,6.396080801,5.954146922,3.02E-06,1.89E-05,sylv
sCHI,06tab095tomf,Nsylvestris_NODE_7397_length_2505_cov_84,TAB09595,Tom95,12.22178916,6.000157202,8.66E-09,1.31E-06,sylv
sCHS,06tab095tomf,Nsylvestris_NODE_15514_length_1500_cov_222,TAB09595,Tom95,4.131746838,6.161867922,3.85E-05,0.00013783,sylv
sCHS,06tab095tomf,Nsylvestris_NODE_13755_length_1678_cov_225,TAB09595,Tom95,7.64969608,8.167725691,6.75E-08,2.00E-06,sylv
sDFR,06tab095tomf,Nsylvestris_NODE_16810_length_1371_cov_224,TAB09595,Tom95,7.873694708,2.582105346,3.61E-05,0.000130242,sylv
sF3'H,06tab095tomf,Nsylvestris_NODE_4292_length_3153_cov_190,TAB09595,Tom95,8.666795544,3.224438261,5.59E-06,2.96E-05,sylv
sF3H,06tab095tomf,Nsylvestris_NODE_14312_length_1619_cov_212,TAB09595,Tom95,3.808699894,6.58877,4.43E-06,2.49E-05,sylv
sFLS,06tab095tomf,Nsylvestris_NODE_15824_length_1466_cov_202,TAB09595,Tom95,2.061025076,4.754890539,0.00024852,0.000691209,sylv
sAN1,07tabChutomf,Nsylvestris_NODE_6982_length_2572_cov_107,TABC95,Tom95,2.101312569,4.780711324,0.003339574,0.007308931,sylv
sANS,07tabChutomf,Nsylvestris_NODE_4044_length_3219_cov_205,TABC95,Tom95,5.211327542,8.12255074,1.12E-05,5.16E-05,sylv
sCHI,07tabChutomf,Nsylvestris_NODE_32653_length_365_cov_193,TABC95,Tom95,5.533701118,5.036192701,1.82E-06,1.44E-05,sylv
sCHI,07tabChutomf,Nsylvestris_NODE_7397_length_2505_cov_84,TABC95,Tom95,11.88303584,5.619089685,7.61E-09,2.08E-06,sylv
sCHS,07tabChutomf,Nsylvestris_NODE_15514_length_1500_cov_222,TABC95,Tom95,4.849350808,6.955793264,6.17E-05,0.000209198,sylv
sCHS,07tabChutomf,Nsylvestris_NODE_13755_length_1678_cov_225,TABC95,Tom95,7.680015136,8.178762417,9.88E-08,2.82E-06,sylv
sDFR,07tabChutomf,Nsylvestris_NODE_16810_length_1371_cov_224,TABC95,Tom95,7.900486161,2.560333348,2.67E-05,0.000103404,sylv
sF3'H,07tabChutomf,Nsylvestris_NODE_4292_length_3153_cov_190,TABC95,Tom95,8.937551649,3.51522666,9.09E-06,4.40E-05,sylv
sF3H,07tabChutomf,Nsylvestris_NODE_14312_length_1619_cov_212,TABC95,Tom95,3.910196706,6.703785312,1.89E-05,7.82E-05,sylv
sFLS,07tabChutomf,Nsylvestris_NODE_15824_length_1466_cov_202,TABC95,Tom95,3.524077388,5.969500382,1.48E-05,6.44E-05,sylv
sANS,08QM24tomf,Nsylvestris_NODE_4044_length_3219_cov_205,QM2495,Tom95,4.750771926,7.24633072,0.000205309,0.000911815,sylv
sCHI,08QM24tomf,Nsylvestris_NODE_32653_length_365_cov_193,QM2495,Tom95,5.114442017,4.302788433,0.00023636,0.001017842,sylv
sCHI,08QM24tomf,Nsylvestris_NODE_7397_length_2505_cov_84,QM2495,Tom95,11.4520151,4.768981673,1.76E-07,1.56E-05,sylv
sCHS,08QM24tomf,Nsylvestris_NODE_15514_length_1500_cov_222,QM2495,Tom95,4.034024383,5.689649319,0.000246196,0.001052278,sylv
sCHS,08QM24tomf,Nsylvestris_NODE_13755_length_1678_cov_225,QM2495,Tom95,7.365176807,7.469553757,1.01E-05,9.95E-05,sylv
sDFR,08QM24tomf,Nsylvestris_NODE_16810_length_1371_cov_224,QM2495,Tom95,11.86595455,6.087251283,0.000266946,0.00112341,sylv
sF3'5'H,08QM24tomf,Nsylvestris_NODE_12917_length_1772_cov_200,QM2495,Tom95,6.838351328,0.215160559,1.62E-05,0.000138503,sylv
sF3'H,08QM24tomf,Nsylvestris_NODE_4292_length_3153_cov_190,QM2495,Tom95,9.305816247,3.398136232,0.000303573,0.001248392,sylv
sF3H,08QM24tomf,Nsylvestris_NODE_14312_length_1619_cov_212,QM2495,Tom95,3.888610406,6.287469724,7.79E-05,0.00042172,sylv
sFLS,08QM24tomf,Nsylvestris_NODE_15824_length_1466_cov_202,QM2495,Tom95,3.894836487,5.929201638,6.79E-05,0.000379934,sylv
sANS,09QM25tomf,Nsylvestris_NODE_4044_length_3219_cov_205,QM2595,Tom95,4.912709515,7.615732615,1.16E-05,5.10E-05,sylv
sCHI,09QM25tomf,Nsylvestris_NODE_32653_length_365_cov_193,QM2595,Tom95,5.754719644,5.089422716,1.49E-06,1.10E-05,sylv
sCHI,09QM25tomf,Nsylvestris_NODE_7397_length_2505_cov_84,QM2595,Tom95,11.56546093,5.091218016,1.20E-09,8.62E-07,sylv
sCHS,09QM25tomf,Nsylvestris_NODE_15514_length_1500_cov_222,QM2595,Tom95,4.058780293,5.888030402,1.60E-05,6.63E-05,sylv
sCHS,09QM25tomf,Nsylvestris_NODE_13755_length_1678_cov_225,QM2595,Tom95,7.174094464,7.54620769,1.22E-06,9.53E-06,sylv
sDFR,09QM25tomf,Nsylvestris_NODE_16810_length_1371_cov_224,QM2595,Tom95,11.67669403,6.167309555,3.02E-06,1.83E-05,sylv
sF3'5'H,09QM25tomf,Nsylvestris_NODE_12917_length_1772_cov_200,QM2595,Tom95,7.211608128,0.732306616,1.09E-07,2.06E-06,sylv
sF3'H,09QM25tomf,Nsylvestris_NODE_4292_length_3153_cov_190,QM2595,Tom95,10.66681217,4.996917872,1.45E-06,1.08E-05,sylv
sF3H,09QM25tomf,Nsylvestris_NODE_14312_length_1619_cov_212,QM2595,Tom95,3.262136131,5.910726805,1.02E-05,4.64E-05,sylv
sFLS,09QM25tomf,Nsylvestris_NODE_15824_length_1466_cov_202,QM2595,Tom95,2.872781612,5.304030726,0.000218572,0.000635852,sylv
sDFR,10QM24tab095a,Nsylvestris_NODE_16810_length_1371_cov_224,QM2495,TAB09595,3.924280578,6.227830964,5.84E-06,0.019222969,sylv
sDFR,11QM24tabChu,Nsylvestris_NODE_16810_length_1371_cov_224,QM2495,TABC95,3.881056062,6.225965674,2.31E-06,0.017049004,sylv
sDFR,12QM25tab095a,Nsylvestris_NODE_16810_length_1371_cov_224,QM2595,TAB09595,3.731243174,6.27959369,1.04E-06,0.002971464,sylv
sF3'5'H,12QM25tab095a,Nsylvestris_NODE_12917_length_1772_cov_200,QM2595,TAB09595,6.708721283,0.730348252,0.001093703,0.027452329,sylv
sDFR,13QM25tabChu,Nsylvestris_NODE_16810_length_1371_cov_224,QM2595,TABC95,3.673049051,6.27818114,6.15E-07,0.001844527,sylv
sF3'5'H,13QM25tabChu,Nsylvestris_NODE_12917_length_1772_cov_200,QM2595,TABC95,6.083952414,0.743245646,0.002898006,0.047181739,sylv
tFLS,15QM24QM25a,,,,,,,,
